"lat","lng","year","freq","city","state","state_code","mean_dur"
43.6091,-72.9782,2018,2,"rutland","vermont","VT",1080060
43.6091,-72.9782,2020,2,"rutland","vermont","VT",151350
43.6091,-72.9782,NA,1,"rutland","vermont","VT",300
43.6112,-116.3968,2006,2,"meridian","idaho","ID",129750
43.6112,-116.3968,2008,1,"meridian","idaho","ID",1296000
43.6112,-116.3968,2009,1,"meridian","idaho","ID",7200
43.6112,-116.3968,2010,1,"meridian","idaho","ID",3600
43.6112,-116.3968,2011,1,"meridian","idaho","ID",2592000
43.6112,-116.3968,2012,3,"meridian","idaho","ID",864450
43.6112,-116.3968,2013,6,"meridian","idaho","ID",864525
43.6112,-116.3968,2014,2,"meridian","idaho","ID",120
43.6112,-116.3968,2015,9,"meridian","idaho","ID",540255
43.6112,-116.3968,2016,5,"meridian","idaho","ID",2244
43.6112,-116.3968,2017,1,"meridian","idaho","ID",420
43.6112,-116.3968,2018,1,"meridian","idaho","ID",NA
43.6112,-116.3968,2019,6,"meridian","idaho","ID",1008275
43.6112,-116.3968,2020,5,"meridian","idaho","ID",1175136
43.6112,-116.3968,2021,1,"meridian","idaho","ID",210
43.6114,-86.3648,2006,1,"shelby","michigan","MI",270
43.6114,-86.3648,2013,1,"shelby","michigan","MI",259200
43.6114,-86.3648,2016,1,"shelby","michigan","MI",360
43.6114,-86.3648,2019,1,"shelby","michigan","MI",150
43.6123,-83.8423,2008,1,"essexville","michigan","MI",3600
43.6123,-83.8423,2020,1,"essexville","michigan","MI",180
43.6146,-88.495,2020,1,"brownsville","wisconsin","WI",300
43.6154,-116.9379,2015,1,"homedale","idaho","ID",259200
43.621,-96.9424,2014,1,"hartford","south dakota","SD",420
43.621,-96.9424,2017,1,"hartford","south dakota","SD",600
43.6237,-87.7889,2011,1,"oostburg","wisconsin","WI",300
43.6241,-84.2319,2007,1,"midland","michigan","MI",300
43.6241,-84.2319,2008,1,"midland","michigan","MI",864000
43.6241,-84.2319,2010,2,"midland","michigan","MI",180
43.6241,-84.2319,2013,1,"midland","michigan","MI",NA
43.6241,-84.2319,2015,3,"midland","michigan","MI",1860
43.6241,-84.2319,2016,2,"midland","michigan","MI",330
43.6241,-84.2319,2017,1,"midland","michigan","MI",172800
43.6241,-84.2319,2020,1,"midland","michigan","MI",120
43.631,-70.2895,1946,1,"south portland","maine","ME",864000
