Date.Time,City,State,Shape,Duration,Summary,Posted,Country,pop,lat,long,capital
2012-10-09,Caledon,ON,Triangle,259200.0,Silent triangular craft moved slowly east with steady white lights on each point,2012-10-30,Canada,1766,43.81,-79.83,0
2012-10-08,Attawapiskat,ON,Sphere,300.0,Large orb seen in night sky by several people in various towns,2012-10-30,Canada,1383,52.92,-82.43,0
2012-10-06,Brockville,ON,Triangle,864000.0,"Ontario country road October 2012, large spotlight over home, and triangular object with green & white lights across road over treeline",2012-10-30,Canada,24083,44.61,-75.7,0
2012-10-06,Kingston,ON,Fireball,2400.0,"October 6, 2013, three passes of 6-10 bright orange fireballs/lights moving in formation was observed over Kingston Ontario.",2013-10-14,Canada,115695,44.23,-76.5,0
2012-09-28,Alliston,ON,Light,120.0,Bright white light in the sky.,2012-10-30,Canada,10353,44.15,-79.87,0
2012-09-22,Norwood,ON,Circle,864000.0,"BRIGHT, WHITE RING OF LIGHT,  DROPPED DOWN FROM SKY LASTING 10 TO 15 SECONDS",2012-09-24,Canada,1768,44.38,-77.98,0
2012-09-16,Windsor,ON,Fireball,600.0,"Fireballs over Windsor, Ontario.",2012-09-24,Canada,281545,42.3,-83.03,0
2012-09-16,Rockland,ON,Triangle,180.0,It was a triangular shape with white lights at each corner (not blinking ) and 2 in the middle that were blinking,2012-09-24,Canada,9137,45.53,-75.28,0
2012-09-15,Guelph,ON,Formation,1200.0,"Triangular formation of 3 ufos near Guelph, ON",2012-09-24,Canada,117979,43.56,-80.26,0
2012-09-12,Alliston,ON,Disk,0.0,"Disk shaped object with white/blue lights and halo, near Alliston, Ontario, Canada",2012-09-24,Canada,10353,44.15,-79.87,0
2012-09-11,Hornepayne,ON,Flash,1800.0,Flash of light every 4 mins in east southeastern  sky 1/3 way up from horizon,2012-09-24,Canada,1403,49.22,-84.78,0
2012-09-08,Kitchener,ON,Sphere,1800.0,Six orange/yellow spheres observed over the Chicopee Area of Kitchener,2012-09-24,Canada,414309,43.46,-80.5,0
2012-09-08,Collingwood,ON,Formation,2592000.0,We saw 2 orange lights going south east with the trailing light moving further east like the craft was turning.,2012-09-24,Canada,15829,44.49,-80.21,0
,Dryden,ON,Other,,"Objects was pyramid shape,bright lights, staying in one spot and big.",2012-09-24,Canada,7012,49.78,-92.83,0
