"lat","lng","freq","city","state","state_code","mean_dur"
38.9463,-83.4094,3,"peebles","ohio","OH",864220
38.9466,-78.44,1,"toms brook","virginia","VA",2580
38.9472,-84.6731,1,"union","kentucky","KY",300
38.9473,-91.939,1,"kingdom city","missouri","MO",NA
38.9476,-85.891,7,"seymour","indiana","IN",216240
38.9478,-92.3256,66,"columbia","missouri","MO",413837.142857143
38.9497,-77.3461,10,"reston","virginia","VA",979450
38.9502,-82.113,1,"cheshire","ohio","OH",300
38.951,-84.5492,10,"independence","kentucky","KY",189
38.9529,-75.8828,2,"ridgely","maryland","MD",1140
38.9531,-84.8545,1,"rising sun","indiana","IN",2592000
38.9554,-119.1101,4,"yerington","nevada","NV",692557.5
38.9559,-76.1948,1,"grasonville","maryland","MD",2592000
38.956,-81.7619,3,"ravenswood","west virginia","WV",160
38.9569,-76.7409,12,"bowie","maryland","MD",671948.181818182
38.9577,-90.2156,3,"godfrey","illinois","IL",100872.333333333
38.9588,-92.7471,5,"boonville","missouri","MO",1200
38.959,-122.633,10,"clearlake","california","CA",269619
38.9597,-95.2641,29,"lawrence","kansas","KS",873423.214285714
38.9609,-119.7688,4,"minden","nevada","NV",540165
38.9609,-94.8018,13,"lenexa","kansas","KS",592095
38.9612,-76.9548,9,"hyattsville","maryland","MD",163800
38.962,-84.2779,3,"new richmond","ohio","OH",58020
38.9621,-84.386,1,"alexandria","kentucky","KY",259200
38.9621,-76.8421,3,"lanham","maryland","MD",NA
38.9627,-84.0846,9,"bethel","ohio","OH",240540
38.9636,-109.7037,2,"thompson springs","utah","UT",1302300
38.9642,-76.9266,1,"riverdale park","maryland","MD",150
38.9649,-93.4152,1,"sweet springs","missouri","MO",1296000
38.9654,-76.8773,4,"new carrollton","maryland","MD",1296060
38.9678,-119.9439,6,"stateline","nevada","NV",630
38.968,-77.141,1,"glen echo","maryland","MD",600
38.9685,-81.9112,1,"racine","ohio","OH",600
38.9686,-94.9548,1,"de soto","kansas","KS",10
38.969,-121.3559,1,"sheridan","california","CA",432000
38.9698,-89.6664,1,"new douglas","illinois","IL",10
38.9699,-77.3867,7,"herndon","virginia","VA",368.714285714286
38.9701,-84.4607,1,"ryland heights","kentucky","KY",NA
38.9704,-122.8327,10,"kelseyville","california","CA",810
38.9706,-76.5047,35,"annapolis","maryland","MD",197310.689655172
38.9708,-90.9715,7,"troy","missouri","MO",35100
38.9715,-77.7429,1,"middleburg","virginia","VA",432000
38.9718,-74.8376,12,"wildwood crest","new jersey","NJ",455781.818181818
38.9745,-76.3184,6,"stevensville","maryland","MD",432540
38.9754,-89.1117,2,"vandalia","illinois","IL",648300
38.9785,-92.5633,1,"rocheport","missouri","MO",900
38.981,-77.0028,5,"takoma park","maryland","MD",121224
38.9861,-76.5519,1,"parole","maryland","MD",300
38.9866,-77.1188,8,"bethesda","maryland","MD",173025
38.9872,-88.1644,2,"newton","illinois","IL",1440
38.9874,-94.6361,2,"prairie village","kansas","KS",240
38.9876,-81.9655,1,"new haven","west virginia","WV",300
38.9877,-93.5683,2,"concordia","missouri","MO",129630
38.9877,-74.8188,10,"wildwood","new jersey","NJ",594938.125
38.99,-84.647,24,"florence","kentucky","KY",605709.545454545
38.9927,-80.2282,6,"buckhannon","west virginia","WV",3798
38.9935,-110.1723,7,"green river","utah","UT",851794.285714286
38.9942,-88.9554,2,"brownstown","illinois","IL",3660
38.9943,-77.0737,2,"chevy chase","maryland","MD",750
38.9944,-94.4641,4,"raytown","missouri","MO",1944375
38.9944,-90.7437,1,"winfield","missouri","MO",120
38.9953,-76.8885,6,"greenbelt","maryland","MD",64995
38.996,-76.9337,9,"college park","maryland","MD",125380
38.9961,-78.3548,5,"strasburg","virginia","VA",1037148
38.9985,-105.0594,4,"woodland park","colorado","CO",864150
39.0016,-87.6126,1,"palestine","illinois","IL",600
39.0028,-77.0207,29,"silver spring","maryland","MD",224920.384615385
39.003,-121.0304,2,"meadow vista","california","CA",NA
39.0035,-91.2403,1,"truxton","missouri","MO",259200
39.0047,-74.799,5,"north wildwood","new jersey","NJ",216
39.0052,-77.405,14,"sterling","virginia","VA",79288
39.0053,-120.8314,5,"foresthill","california","CA",216285
39.0072,-83.8022,1,"sardinia","ohio","OH",NA
39.0077,-94.1283,2,"oak grove","missouri","MO",2160000
39.008,-75.4667,2,"frederica","delaware","DE",237750
39.0082,-119.9307,1,"zephyr cove","nevada","NV",180
39.0092,-84.4988,2,"taylor mill","kentucky","KY",150
39.0109,-84.5864,6,"erlanger","kentucky","KY",225
39.011,-77.3013,3,"great falls","virginia","VA",1720
39.0115,-123.374,2,"boonville","california","CA",865800
39.0122,-98.3943,1,"sylvan grove","kansas","KS",300
39.0124,-94.2721,24,"blue springs","missouri","MO",432840
39.0127,-75.5764,4,"felton","delaware","DE",375
39.013,-84.4349,1,"cold spring","kentucky","KY",1200
39.0141,-122.061,5,"arbuckle","california","CA",173442
39.0141,-77.1943,5,"potomac","maryland","MD",804.6
39.0144,-76.68,8,"crofton","maryland","MD",446940
39.015,-114.1233,1,"baker","nevada","NV",648000
39.0151,-96.2873,1,"alma","kansas","KS",NA
39.0158,-94.8076,15,"shawnee","kansas","KS",587943
39.0158,-74.9349,4,"villas","new jersey","NJ",432060
39.0168,-94.2085,3,"grain valley","missouri","MO",600
39.0168,-77.5167,2,"broadlands","virginia","VA",1296090
39.017,-85.6317,3,"north vernon","indiana","IN",2900
39.0174,-91.8958,3,"auxvasse","missouri","MO",30.5
39.0183,-82.0314,3,"mason","west virginia","WV",288140
39.0185,-85.0531,1,"dillsboro","indiana","IN",120
39.0186,-94.6933,4,"merriam","kansas","KS",475305
39.0196,-74.8762,1,"rio grande","new jersey","NJ",120
39.0218,-122.6593,1,"clearlake oaks","california","CA",900
39.022,-79.9383,2,"belington","west virginia","WV",7884000
39.0223,-84.7217,5,"burlington","kentucky","KY",1050
39.0229,-84.2184,9,"amelia","ohio","OH",783917.142857143
39.0234,-99.8814,1,"wakeeney","kansas","KS",518400
39.0245,-84.4156,1,"crestview","kentucky","KY",300
39.0249,-84.5695,1,"crestview hills","kentucky","KY",450
39.0254,-76.9751,1,"hillandale","maryland","MD",1800
39.0256,-119.8309,1,"genoa","nevada","NV",180
39.0265,-77.0738,4,"kensington","maryland","MD",756217.5
39.027,-94.6568,2,"mission","kansas","KS",86700
39.0271,-96.8496,4,"junction city","kansas","KS",380
39.0287,-121.39,2,"wheatland","california","CA",600
39.0288,-78.278,3,"middletown","virginia","VA",3312000
39.0292,-82.034,1,"pomeroy","ohio","OH",388800
39.0293,-83.9267,2,"mount orab","ohio","OH",1725
39.03,-77.4711,20,"ashburn","virginia","VA",373222.105263158
39.0319,-84.3707,1,"melbourne","kentucky","KY",360
39.0319,-82.8252,4,"beaver","ohio","OH",413130
39.033,-104.4904,4,"peyton","colorado","CO",109961.25
39.0332,-97.5933,3,"bennington","kansas","KS",260
39.0334,-84.5166,6,"covington","kentucky","KY",547710
