"","City","State","Sightings","Airport Count"
"498","Racine","WI",26,1
"499","Richmond","KY",26,0
"500","San Angelo","TX",26,1
"501","Santa Claus","IN",26,0
"502","Tracy","CA",26,1
"503","Vista","CA",26,0
"504","Watsonville","CA",26,1
"505","Brooksville","FL",25,0
"506","Casper","WY",25,1
"507","Deming","NM",25,1
"508","Eureka","CA",25,1
"509","Holland","MI",25,1
"510","Jackson","MI",25,1
"511","Lake Charles","LA",25,1
"512","Lake Wales","FL",25,0
"513","Lexington","SC",25,0
"514","Muncie","IN",25,1
"515","New Bedford","MA",25,1
"516","Norwood","NJ",25,0
"517","Owensboro","KY",25,1
"518","Peoria","IL",25,1
"519","Rohnert Park","CA",25,0
"520","West Valley City","UT",25,0
"521","Alpharetta","GA",24,0
"522","Broomfield","CO",24,0
"523","Destin","FL",24,1
"524","Downingtown","PA",24,0
"525","Estes Park","CO",24,0
"526","Florence","KY",24,0
"527","Florence","SC",24,1
"528","Gainesville","GA",24,1
"529","Holiday","FL",24,0
"530","Irving","TX",24,0
"531","Jackson","TN",24,1
"532","Longview","WA",24,0
"533","Los Banos","CA",24,0
"534","Mechanicsburg","PA",24,0
"535","Menifee","CA",24,0
"536","Metairie","LA",24,0
"537","Millerton","PA",24,0
"538","Milwaukie","OR",24,0
"539","Plantation","FL",24,0
"540","Titusville","FL",24,1
"541","West Jordan","UT",24,0
"542","Wichita Falls","TX",24,1
"543","Woonsocket","RI",24,0
"544","Allen","TX",23,0
"545","Anacortes","WA",23,0
"546","Bel Air","MD",23,0
"547","Bloomington","IN",23,1
"548","Blue Springs","MO",23,0
"549","Bullhead City","AZ",23,0
"550","Burlington","VT",23,1
"551","Caldwell","ID",23,0
"552","Corvallis","OR",23,1
"553","Danbury","CT",23,1
"554","Dubuque","IA",23,0
"555","Garrettsville","OH",23,0
"556","Hartford","CT",23,1
"557","Hendersonville","TN",23,0
"558","Kennesaw","GA",23,0
"559","Lake Stevens","WA",23,0
"560","Longwood","FL",23,0
